UniqueCount	AmbigCount
2	140
0	13
8	533
0	0
0	3
0	2
0	0
0	8
0	8
0	0
0	0
0	0
28	117
0	81
0	13
0	14
1	30
0	7
154	137
49	1720
30	142
0	143
1128	177
0	142
56	885
1	6
12	2
1	9
0	13
6	696
2	103
0	111
1	86
0	56
14	69
0	11
0	29
0	2
0	1
0	0
0	1
0	1
0	21
0	2
0	8
0	0
0	0
4	30
0	28
19	67
0	8
0	8
0	75
6	2041
35	21
0	584
0	238
0	236
1	355
40	146
0	142
0	247
13	185
0	2
0	4
0	0
0	0
0	7
0	2
0	0
0	20
0	8
0	0
73	1203
987	8161
104	41371
0	175
7	2827
0	35
6543	10531
8	5692
0	0
0	10
0	17
8	25
0	32
0	9
0	77
245	6091
0	1
0	2
0	100
4	30
3	25
0	32
0	26
0	2
0	8
7	8
0	8
0	1
1	2
0	4
0	6
3	6
1	6
0	7
0	5
0	9
3	36
7	13
3	2
9	3
0	5
3	16
2	9
27	22
0	4
114	26
0	12
0	11
1	16
0	11
0	8
0	32
0	19
1	11
0	14
8	4
5	3
1	5
8	46
0	14
0	31
1	0
0	0
0	0
1	21
1	2
0	0
0	0
0	0
0	0
0	0
0	33
0	37
0	37
0	37
0	37
0	37
0	37
0	37
0	37
0	33
0	0
0	0
0	0
0	0
0	0
2	211
20	518
45	510
1	0
0	134
12	15
14	121
0	114
4	36
9	41
6	3
0	12
0	12
0	12
0	1
0	4
0	2
0	2
0	2
3	0
0	8
0	5
4	8
0	3
0	143
0	101
0	6
1	0
42	143
3	40
0	40
0	0
0	1
0	3
0	0
0	0
1	22
0	1
1	8
0	0
0	11
2	9
0	0
0	11
8	0
0	11
0	5
1	14
0	83
0	63
0	80
0	70
11	68
0	78
5	86
0	23
0	63
0	19
0	18
0	16
0	7
0	7
0	6
0	5
0	4
2	6
3	3
1	0
0	0
0	0
0	0
0	0
2	40
0	35
0	0
0	0
0	0
0	0
0	0
0	0
0	28
4	41
4	22
0	20
7	52
16	52
0	10
1	1083
0	1028
0	992
121	535
2	432
0	405
1	292
276	0
0	1
0	1
0	3
0	2
1	2
13	8
1	494
0	496
0	504
1	360
0	370
1	327
1	301
13	81
0	258
0	210
0	52
0	86
0	94
0	63
1	78
0	8
0	29
3	23
6	25
13	1
4	3
5	2
0	27
0	19
1	26
0	25
0	3
0	25
0	0
0	4
3	461
38	445
5	285
0	307
1	3
0	0
2	40
1	66
2	9
26	124
3	70
17	45
0	40
4	0
7	71
1	25
0	11
0	37
2	46
0	520
0	785
0	783
0	474
1	574
0	807
0	199
0	692
0	573
71	553
18	481
1	555
0	782
0	582
0	513
0	640
0	692
0	225
1	161
4	137
0	551
0	160
0	0
0	208
0	178
0	146
0	142
0	248
0	21
3	55
0	296
0	156
1	154
0	219
0	214
0	212
0	12
4	4
0	142
26	0
0	206
1	204
0	153
0	150
0	145
0	103
0	79
0	86
0	76
0	25
0	10
0	0
0	49
117	69
0	28
20	0
0	342
3	345
0	252
0	89
0	99
2	53
1	19
0	0
1	18
0	10
1	13
0	15
0	13
0	14
0	6
0	5
2	2
0	0
0	0
1	468
109	451
0	451
0	454
16	68
0	18
1	0
94	1484
8	1557
11	979
13	1774
6	3293
0	2041
0	1272
0	2290
0	2523
0	996
0	1212
1	463
3	386
3	347
2	451
0	780
32	94
1	240
8	23
0	120
0	101
1	336
16	372
0	27
0	25
0	355
8	355
0	145
38	422
2	200
22	363
31	29
33	200
0	6
0	73
99	163
0	11
0	11
0	11
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	75
0	1
3	3
1	143
39	142
1	20
26	104
34	78
0	144
0	143
0	141
0	141
0	6
1	24
1	21
0	1
0	1
4	1
111	1164
6	823
1	376
388	156
18	244
0	0
36	0
60	2
0	337
0	344
0	302
0	343
79	375
0	333
0	365
10	104
0	34
0	337
0	21
0	290
0	26
0	7
0	41
0	340
8	279
0	20
0	323
10	310
5	14
7	10
0	303
18	70
3	33
0	29
8	87
0	168
0	141
9	58
0	17
12	17
3	33
2	3
4	18
1	32
0	28
0	20
0	24
0	20
3	11
2	11
98	1576
1	1557
0	1413
0	1317
1	1250
1	1184
2	1185
1	1187
0	278
0	60
4	404
3	2517
1	2463
68	898
12	454
23	11
8	7
0	30
0	1305
59	1142
1	407
7	1001
1	1162
0	1015
0	1173
0	1226
0	1207
0	1231
0	1056
24	89
2	167
1	117
0	28
1	252
0	45
1	79
4	199
2	231
7	208
1	35
1	8
4	4
4	3
139	143
21	356
9	54
1	306
7	2
0	14
0	6037
0	6046
258	5831
14	3220
1	124
2	1260
3	584
1	288
47	1097
6	357
8	225
1	852
98	1144
10	627
36	599
35	299
17	12
7	5530
0	4987
24	5724
50	818
0	1642
2	768
1	1046
0	537
0	13
0	121
1	0
2	1
0	1
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	30
0	0
0	0
10	75
1	0
3	4
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	1
