GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000170160	240.602884316876	3.53623244927206	0.217047102345357	16.2924656033663	1.11636315561731e-59	1.28392926527547e-55
ENSG00000188933	429.723787177148	1.22590254946854	0.131590387337695	9.31604940353703	1.20752864240454e-20	6.94389345814733e-17
ENSG00000132510	5466.0434516607	-0.729179258861859	0.0830745875967809	-8.77740449824532	1.67290456412864e-18	6.4133584640145e-15
ENSG00000126822	4148.46170209241	-1.0224422042367	0.119127276759319	-8.58277157046411	9.26141539532488e-18	2.66288846154079e-14
ENSG00000072110	7064.15570464692	-0.718711271849585	0.0871036690222807	-8.25121696843497	1.56789593506209e-16	3.60647422982982e-13
ENSG00000197321	2477.34460620284	-0.756753107702927	0.0933142664925066	-8.10972572734841	5.07341486093118e-16	9.72489071926159e-13
ENSG00000254415	1650.2736953853	-1.47547575277805	0.183945722562798	-8.02125611958346	1.04669226019072e-15	1.71971538349335e-12
ENSG00000142599	3562.75161789563	-0.685901161865127	0.0878226372153915	-7.81007247804349	5.71551090770373e-15	8.21676136868758e-12
ENSG00000197081	20540.9446008553	-0.76545357965518	0.099006913990331	-7.73131439820389	1.06441780039326e-14	1.3602076802581e-11
ENSG00000022567	2910.16172181382	-1.00324002827961	0.134836823543458	-7.44040093733196	1.00380168438057e-13	1.15447231720609e-10
ENSG00000066336	8565.61894698342	-0.627225367304365	0.0855603974735908	-7.33079071421992	2.28798730191106e-13	2.39219472357083e-10
ENSG00000250138	510.87817184034	-1.49760554620137	0.207530341380765	-7.21632093041108	5.3412918175862e-13	5.11918309950491e-10
ENSG00000167470	2731.07533131093	-0.63165575419367	0.0880511855925979	-7.17373366346552	7.29795243854826e-13	6.45644238428797e-10
ENSG00000073150	562.975105325494	-1.28900984110918	0.180694052198949	-7.13365949472398	9.77349373583982e-13	7.77104149735505e-10
ENSG00000090238	5091.95321278967	-0.798828892257047	0.112198736214007	-7.11976729161519	1.08109437403427e-12	7.77104149735505e-10
ENSG00000234389	150.746751590752	2.42292134959951	0.339964521653877	7.12698295049248	1.02592794364398e-12	7.77104149735505e-10
ENSG00000198858	7395.60986236737	-0.56741600304726	0.0799514590228212	-7.09700623331087	1.27488310910554e-12	8.62495919871931e-10
ENSG00000143878	2550.88968444516	-1.02723727457088	0.145494135238995	-7.06033458244548	1.6610217098598e-12	1.06130059361653e-09
ENSG00000270231	1123.22672467845	1.7093887832097	0.251365394737414	6.80041413415474	1.04318832920018e-11	6.31458367059539e-09
ENSG00000196562	4799.2566887208	-0.620198605688694	0.092001069477661	-6.74121082732942	1.57072093140257e-11	8.60231496764807e-09
ENSG00000137076	15090.3499126788	-0.599937005715945	0.0889926157687736	-6.74142456127754	1.56841164316075e-11	8.60231496764807e-09
ENSG00000236438	5322.6369761482	-1.21123986365507	0.180676331692151	-6.70392105214349	2.02899912759163e-11	1.06070540756506e-08
ENSG00000189283	213.984094013755	1.53344946485656	0.233368588078239	6.57093346402926	5.00008003983482e-11	2.39608002242251e-08
ENSG00000162747	57392.1089406922	-1.09201794187359	0.166082065243334	-6.57517077640879	4.85973578711835e-11	2.39608002242251e-08
ENSG00000248019	961.171219515297	-0.734647726581049	0.113558555152014	-6.469329638772	9.84386420316317e-11	4.52857128802318e-08
ENSG00000163191	9955.80253074111	-0.730990517636134	0.113683206267394	-6.43006598456389	1.27548564518618e-10	5.64206169434086e-08
ENSG00000167173	4248.43791491938	-0.694812190065641	0.108699818046531	-6.39202716759114	1.63700803526506e-10	6.85915036346714e-08
ENSG00000167552	6769.033703302	-0.836530134443441	0.130933190088894	-6.38898459493351	1.66990879207964e-10	6.85915036346714e-08
ENSG00000185262	1733.61270790011	-0.674177400900597	0.105783178000002	-6.37320048089864	1.85123630311062e-10	7.34174783519835e-08
ENSG00000161036	504.425192807688	-0.900709249269965	0.142673012883833	-6.31310176370453	2.73497522096904e-10	1.04849833387883e-07
ENSG00000099308	2814.9565445372	-0.666666950482141	0.106648107587385	-6.25109029652391	4.07597122835769e-10	1.5121853257207e-07
ENSG00000175115	3233.26523248731	-0.556732361899448	0.0895758028914751	-6.21520928563659	5.12562872863252e-10	1.84218300025008e-07
ENSG00000129353	8396.36961948382	-0.601196699119229	0.0977948297206676	-6.14753050684206	7.86985673818867e-10	2.74276431351236e-07
ENSG00000077420	4657.15839303859	-0.511065245042296	0.0832040199832469	-6.14231433944176	8.13277110447519e-10	2.7510294256638e-07
ENSG00000140332	5206.81694950933	-0.684745726975001	0.112108100444682	-6.10790588957379	1.00946844017292e-09	3.3171132944082e-07
ENSG00000282034	765.13371314867	-0.769240569446608	0.126153175610732	-6.09767107108138	1.07624916830833e-09	3.42756165002844e-07
ENSG00000159840	8826.07728300053	-0.815246051369884	0.133783095178928	-6.09378972940889	1.10268481915531e-09	3.42756165002844e-07
ENSG00000166130	1001.06573063662	-0.79620593457335	0.131106249887436	-6.07298229685427	1.25556301691219e-09	3.68251576467178e-07
ENSG00000148400	5838.07483617939	-0.670373992769179	0.110444318480485	-6.06979156549035	1.28076367782689e-09	3.68251576467178e-07
ENSG00000135766	3431.27342889876	-0.796179951647269	0.131030303509689	-6.07630395657594	1.22984193394031e-09	3.68251576467178e-07
ENSG00000125505	7682.16962916417	-0.603899055442813	0.100069898167869	-6.03477235911407	1.59186931217313e-09	4.46538755104955e-07
ENSG00000142634	10764.5967952672	-0.490100986941341	0.0814004629667992	-6.02086240149812	1.7349019877713e-09	4.7507399431804e-07
ENSG00000108840	1968.93971329558	-0.717104154133247	0.120388230577316	-5.95659684251866	2.57544524636044e-09	6.88841762288172e-07
ENSG00000064225	624.817442039444	-0.838386840440129	0.140917253617261	-5.9494974456232	2.68967039547812e-09	7.03043164054407e-07
ENSG00000101460	165.474889474043	-1.19629904560984	0.202395938923996	-5.91068700276184	3.40683840576595e-09	8.70712188993648e-07
ENSG00000163545	2299.25354324163	-0.645881356152129	0.109478868062358	-5.89959841185281	3.64387381607131e-09	8.99567948165092e-07
ENSG00000072864	1759.37952979067	-0.759621034729751	0.128789885777168	-5.89814200195851	3.67617542507254e-09	8.99567948165092e-07
ENSG00000008516	10913.6704607356	-0.99455496797173	0.169292424971549	-5.87477536658167	4.23417105876068e-09	1.01452502805847e-06
ENSG00000173535	11829.2301454073	-0.68035638273265	0.116446723919371	-5.84264082176959	5.13797202937026e-09	1.20595543489362e-06
ENSG00000105701	6110.0956349651	-0.614913617910452	0.105807322398297	-5.81163575424104	6.18653346649013e-09	1.42302642796206e-06
ENSG00000123405	4137.01286990994	-0.730490457483556	0.125998713894469	-5.79760249057292	6.72696699329963e-09	1.51699700764586e-06
ENSG00000157551	4191.31116593627	-0.983815550999942	0.171834849035471	-5.72535522638283	1.03217535156492e-08	2.28289398429771e-06
ENSG00000064547	1929.97227747268	-0.830024118696379	0.14537708791081	-5.70945621916436	1.13337706551645e-08	2.42720416335146e-06
ENSG00000105011	389.333798310637	-1.02939997454096	0.1804257149662	-5.70539501386371	1.16073584022546e-08	2.42720416335146e-06
ENSG00000135407	416.557349473422	-1.30621208540872	0.228832277604909	-5.70816363443257	1.14201600717513e-08	2.42720416335146e-06
ENSG00000282051	1166.56965019609	-0.89491877329648	0.157037654353576	-5.698752805372	1.20687067956767e-08	2.4786106581621e-06
ENSG00000224152	468.014115552341	-0.965795088462322	0.169728676114049	-5.69022931524756	1.26868877944396e-08	2.55985783375175e-06
ENSG00000197324	9449.1096542889	-0.644230867802793	0.113644471667983	-5.66882716200171	1.4377831377026e-08	2.85102480460649e-06
ENSG00000142347	22582.8652855058	-0.566029350858386	0.10054287298015	-5.62973121894117	1.8049066474279e-08	3.34810183097876e-06
ENSG00000172081	6501.09200952526	-0.596571275171339	0.105937278733233	-5.63136303202198	1.78790935524757e-08	3.34810183097876e-06
ENSG00000143297	495.891804631199	1.60382686015838	0.284806865523542	5.63127878680232	1.78878305224939e-08	3.34810183097876e-06
ENSG00000135636	4896.50533226714	-0.680676462134514	0.12090591009008	-5.62980305617305	1.80415508575081e-08	3.34810183097876e-06
ENSG00000015285	4426.01161025721	-0.628579372371127	0.111730361153425	-5.62586002481437	1.84585984049739e-08	3.3697196865969e-06
ENSG00000197956	10115.5976364396	-0.550816045608943	0.0980442674920226	-5.61803417679427	1.93142301562437e-08	3.47082751604623e-06
ENSG00000171916	189.924679255299	-1.45579631094098	0.259507234975133	-5.60984864672646	2.02503640919671e-08	3.55259586420174e-06
