UniqueCount	AmbigCount
2	198
0	24
6	742
0	2
0	6
0	2
0	0
0	8
0	8
0	0
0	0
0	0
31	98
0	80
0	10
1	13
0	48
0	13
203	193
154	2973
61	243
0	227
1349	250
0	196
69	1200
7	5
21	12
0	15
1	26
21	1006
5	130
0	171
0	155
0	74
30	84
0	10
0	48
0	2
0	0
0	0
0	0
0	0
0	33
0	0
0	5
0	0
0	0
0	39
0	44
19	102
0	5
0	13
0	111
6	3676
46	47
0	882
1	391
0	401
1	568
54	246
0	245
0	396
19	283
0	4
0	4
0	0
0	0
0	5
0	0
0	0
0	33
0	5
0	0
3	1394
1349	9454
4000	43153
0	289
7	4189
0	29
3103	9308
6	6537
0	0
0	15
0	13
3	19
0	50
0	5
3	107
463	10914
0	3
1	12
0	123
0	28
2	21
1	31
0	26
0	6
0	8
4	8
0	8
0	1
5	2
0	5
0	7
1	7
0	7
0	7
0	7
0	7
2	18
10	17
1	2
2	1
0	8
3	15
3	14
27	19
0	1
90	15
0	7
0	7
0	11
0	8
0	4
0	22
0	14
0	3
0	10
1	1
1	5
4	4
1	26
0	4
0	20
0	1
0	0
0	0
1	27
3	0
0	0
0	0
0	0
0	0
0	0
0	25
0	29
0	29
0	29
0	29
0	29
0	29
0	29
0	29
0	25
0	0
0	0
0	0
0	0
0	0
2	203
28	528
21	536
0	0
0	124
9	24
21	132
4	134
5	27
9	51
8	3
0	10
0	8
3	11
0	0
0	3
0	5
0	5
0	5
4	0
0	11
0	6
4	10
0	3
0	337
0	233
0	2
2	0
99	335
1	75
0	75
1	0
0	0
0	2
0	1
0	0
4	37
0	10
3	18
0	0
0	15
1	12
3	0
0	15
3	0
0	10
0	8
1	20
0	100
0	84
0	100
0	87
25	86
1	96
5	110
0	18
0	79
0	31
0	23
0	26
0	12
0	12
0	8
0	6
0	4
2	7
2	0
0	0
0	0
0	0
0	0
1	0
0	33
0	29
0	1
0	1
1	1
0	1
0	0
0	0
0	26
9	52
9	29
1	23
9	51
25	51
0	12
4	1221
0	1165
0	1117
140	588
12	510
0	412
0	325
220	0
0	0
0	0
1	1
1	1
2	1
18	8
1	542
0	545
1	542
0	367
1	402
0	337
0	332
13	93
0	279
0	220
0	46
0	69
0	124
0	84
3	91
1	4
0	50
3	40
3	42
22	6
2	3
2	1
0	44
0	31
5	41
0	41
0	5
0	42
0	0
0	5
4	528
43	503
10	379
0	326
2	7
0	0
0	60
3	79
4	16
39	111
5	39
25	36
0	27
7	1
8	114
0	45
1	27
0	76
1	56
7	524
0	772
0	770
0	449
0	570
0	802
0	175
1	671
0	570
78	582
23	459
2	555
0	767
0	578
0	519
0	648
0	680
0	254
2	184
3	164
0	567
0	189
0	0
0	217
0	179
0	116
0	122
0	263
0	20
3	50
1	276
0	145
1	124
1	203
0	196
0	195
0	30
4	9
0	129
22	0
1	214
3	206
3	146
0	154
0	136
0	104
0	95
0	97
0	86
0	26
0	14
1	1
2	85
147	105
2	23
28	0
0	422
2	425
0	297
0	97
0	103
7	56
0	22
0	0
2	31
0	19
1	26
0	27
0	20
3	26
0	6
0	4
4	7
0	1
1	0
1	581
194	556
0	555
2	561
21	73
0	25
0	0
92	1543
3	1591
16	1082
4	1846
4	3092
1	2013
2	1347
0	2293
0	2395
1	1042
0	1238
0	444
5	336
6	284
6	363
0	712
35	68
6	263
5	32
1	102
2	104
3	310
20	340
0	19
0	16
0	323
10	323
0	122
31	358
0	161
23	300
29	10
17	169
0	5
1	49
80	152
0	9
0	9
0	8
0	0
0	0
1	0
0	0
0	1
0	0
0	1
0	1
0	0
0	0
0	0
0	0
14	73
0	1
1	1
1	155
49	174
1	26
40	121
28	92
1	155
0	156
0	147
0	147
0	10
3	24
1	20
0	1
0	1
3	0
134	1159
10	834
1	373
395	161
25	436
0	0
34	0
72	3
0	560
0	573
0	480
0	577
69	600
0	543
0	593
8	113
0	34
0	568
0	48
0	451
1	30
1	12
0	55
0	576
17	410
0	32
0	527
11	491
5	12
3	12
0	504
15	105
2	45
0	36
8	114
0	213
0	178
5	133
0	62
10	68
0	42
1	9
4	30
1	40
0	33
0	19
0	27
0	22
0	12
2	10
101	1744
1	1732
1	1572
0	1456
5	1355
0	1360
2	1367
3	1360
0	306
0	48
6	423
1	2858
2	2849
62	1163
18	528
168	36
38	20
0	38
0	1414
120	1276
2	496
3	1136
1	1270
0	1101
0	1294
0	1322
0	1310
0	1334
0	1142
33	153
5	265
0	153
0	57
1	261
0	59
0	67
7	194
6	205
4	158
2	31
2	7
9	7
3	0
105	191
17	356
11	64
2	346
8	0
0	29
0	9108
0	9114
379	8800
38	4772
1	153
2	1984
6	1039
0	530
61	1661
4	616
6	451
0	1261
125	1666
6	959
72	929
40	429
15	23
11	5615
0	5052
27	5812
67	957
4	1791
2	784
3	1054
0	545
1	9
1	113
2	0
2	2
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
6	27
0	1
0	0
18	84
1	0
2	6
0	2
0	1
0	1
0	2
0	2
0	2
0	0
0	2
0	1
0	1
0	0
0	2
0	1
0	0
1	61
0	5
0	2
0	1
0	2
0	0
0	0
1	221
0	14
0	3
0	3
0	3
0	3
0	211
2	6
0	181
0	15
0	23
0	17
0	23
0	17
0	42
0	30
2	19
0	9
0	9
0	27
0	6
25	166
0	200
1	36
0	144
0	136
0	17
47	1
14	1
0	129
0	290
2	211
0	222
0	118
63	266
0	89
0	151
0	168
5	185
7	145
0	79
0	138
0	0
3	0
0	0
1226	57
1	1
0	26
3	31
6	27
0	0
0	25
14	0
0	0
3	25
0	3
0	1
9	18
0	10
2	18
0	17
2	22
0	2
0	3
0	1246
0	244
0	1574
1	573
12	35
3	996
32	453
312	719
6	203
1	414
0	167
0	158
0	26
1	13
2	7
0	9
0	3
7	1
0	118
0	98
0	98
0	138
1	75
0	0
2	0
0	89
0	46
3	455
0	393
0	300
1	93
4	24
10	11
7	8
0	48
0	130
0	62
0	2
1	13
0	0
120	0
0	81
2	16
91	203
4	35
34	87
0	87
0	807
2	976
15	1012
0	976
7	859
2	2182
0	1517
2	608
0	675
246	828
329	2146
0	1938
0	228
7	680
7	1
7	328
3	7
23	0
1	52
0	43
0	305
0	325
0	330
0	316
0	85
0	318
0	81
0	30
0	20
0	32
0	301
1	18
0	279
0	37
0	39
0	7
0	7
0	5
2	6
0	0
1	0
0	0
0	1
30	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	1
0	0
0	2
0	1
0	2
0	0
0	0
1	15
0	1
0	0
0	0
0	1
0	0
5	22
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
38	742
11	899
10	75
10	699
1	73
1	109
15	30
0	0
36	0
224	1173
1	1173
48	313
23	314
132	110
4	152
0	98
0	47
0	18
0	125
0	80
1	25
0	4
0	3
0	1
0	3
0	3
2	0
0	0
0	0
0	0
0	1
0	4
0	0
1	0
0	1
0	0
0	0
0	6
0	157
94	243
1	8
0	0
1	198
0	168
0	27
0	60
0	23
2	13
3	26
0	0
0	0
7	8
0	2
0	8
435	120
5	95
1	20
2	0
16	1
203	399
0	23
1	52
10	57
0	26
3	22
0	176
1	18
0	46
2	18
1	52
0	27
0	222
0	225
1	222
6	216
4	215
1	215
0	209
0	198
0	14
5	3
1	29
3	364
9	372
98	358
0	0
8	40
4	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	8
18	9
0	1
1	13
0	0
0	0
1	4
0	0
0	0
0	0
2	43
0	46
0	105
0	118
1	121
1	88
3	6
0	3
1	4
0	65
1	8
1	319
0	2591
3	0
1	767
2	38
3	8
0	2649
0	2666
0	564
0	637
83	776
0	131
1	2572
0	3
0	70
6	2416
1	882
2	0
65	249
0	2
0	0
3	3
0	2
0	1
0	1
1	1631
2295	3590
56	3592
0	3464
0	2679
0	2447
0	1631
0	1631
0	0
3	25
2	2
1	99
0	0
0	97
0	0
0	0
0	5
1	0
179	278
0	8
5	206
2	70
13	8
0	6
0	0
35	0
0	57
5	53
0	53
0	53
0	56
0	56
0	57
0	59
0	32
0	0
0	2
4	105
0	0
0	0
7	78
0	0
0	0
18	4
0	8
0	0
0	0
0	0
0	0
3	6
0	2
0	1
0	4
0	7
1	3
0	2
0	5
0	0
0	2
0	8
0	2
0	8
0	569
196	761
0	410
0	451
0	452
0	420
1	360
0	247
0	168
3	323
0	198
0	150
0	284
6	308
5	21
1	148
0	125
0	116
8	147
1	16
1	58
0	59
0	59
0	59
0	60
0	60
1	39
0	46
0	52
0	53
0	53
0	39
0	0
233	313
0	16
1	7
0	0
1	0
0	6
0	7
0	1
0	1
0	0
0	0
1	153
6	136
7	440
0	123
63	272
31	184
0	150
0	77
0	1826
81	1982
0	350
2	304
31	283
0	154
185	24
0	24
34	111
5	0
1	94
2	183
0	53
0	60
10	59
0	12
4	216
0	121
5	338
0	184
0	38
7	68
0	56
1	10
1	47
0	36
0	20
4	21
0	0
0	11
0	0
0	0
1	0
26	66
1	52
0	53
1	82
0	35
0	40
0	46
0	35
0	21
0	0
0	19
1	19
0	16
3	2
0	0
0	0
0	0
0	0
0	0
0	0
5	3
3	0
0	0
0	28
1	21
0	10
1146	190
39	194
10	0
3	48
1	19
0	132
0	129
0	132
0	128
0	2
1	1
0	2
1	2
0	6
4	18
0	3
0	4
161	174
0	139
0	4
1	20
2	0
0	848
5	303
20	1212
4	1189
1	824
2	448
0	1149
0	974
13	488
1	698
0	0
3	0
6	6
3	6
0	3
1	1
2	4
0	6
0	0
0	0
0	0
0	0
0	2
0	0
0	8
0	8
0	0
0	6
0	2
1	3765
3	3738
0	91
0	713
10	2624
1	2429
0	165
7	77
17	214
28	44
10	55
18	27
0	9
39	14
19	14
2	34
0	3
0	0
0	0
0	5
0	0
0	3
0	9
0	3
0	0
0	0
0	1
0	0
47	5777
48	4725
0	1306
0	0
8	645
25	633
10	148
6	40
3	0
0	0
3	4
10	1
0	0
0	9
2	14
6	9
0	16
1	15
0	13
0	0
0	0
41	80
0	8
6	16
0	15
0	15
0	17
0	17
0	12
0	11
0	4
0	0
167	177
1	1
0	7
13	88
0	0
0	0
0	0
0	0
0	0
0	0
0	0
545	950
2	904
0	404
18	21
0	14
0	21
0	18
0	0
0	0
54	161
1	1
14	14
2	41
0	36
0	1
0	6
1	10301
0	10567
354	10815
35	0
0	0
5	2
7	13
0	6119
0	6402
22	154
30	407
0	917
1	429
33	817
16	917
2	18
0	0
4	29
0	0
149	114
0	2
3	113
1	65
0	50
8	54
76	201
0	197
9	146
1	27
9	0
4	82
83	253
0	179
3	11
0	0
0	0
0	0
4	15
0	19
15	351
39	341
66	917
11	95
167	852
0	0
0	0
0	13
0	108
0	111
9	136
3	45
1	0
13	149
0	15
46	252
0	504
53	751
1	3
0	226
0	637
1	634
0	633
0	0
0	7
0	38
0	3
0	35
0	35
0	158
0	13
9	1368
1	7
17	742
930	3731
0	1122
1	916
1	1309
11	215
2	1277
2	415
0	0
0	9
0	3
0	8
1	15
0	0
0	7
0	6
0	2
0	2
0	8
1	3
253	304
0	24
1	33
18	65
1	9
117	30
