Gene_ID	SRR1747299	SRR1747301	SRR1747399	SRR1747397	SRR1747395	SRR1747303
ENSG00000277856	9.989	41.371	0.0	11.2	15.25	13.239
ENSG00000275661	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000278633	0.0	0.0	2.789	0.0	0.0	0.0
ENSG00000277196	0.0	0.0	0.0	3.175	0.0	1.059
ENSG00000276017	3.942	17.257	14.988	0.0	7.209	9.256
ENSG00000278625	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000276256	7.907	12.136	0.0	27.827	9.496	3.571
ENSG00000274847	60.656	30.703	24.07	10.313	25.883	32.897
ENSG00000277400	58.363	29.62	21.185	5.919	16.138	40.168
ENSG00000278704	6.0	20.0	3.0	2.267	11.0	22.357
ENSG00000278294	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000274792	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000275249	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000277666	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000277836	2.612	22.196	2.438	6.993	50.909	7.204
ENSG00000278782	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000275869	0.0	2.012	0.0	0.0	0.0	0.0
ENSG00000273843	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000210196	507.0	348.0	356.0	231.0	400.0	597.0
ENSG00000210195	5.0	14.0	19.0	11.0	14.0	13.0
ENSG00000198727	38350.0	29589.9	28134.0	32681.0	57115.0	41322.0
ENSG00000210194	14.0	27.0	12.0	20.0	28.0	20.0
ENSG00000198695	16248.0	13782.0	11303.0	13084.0	23553.9	17015.0
ENSG00000210191	14.0	14.0	6.0	16.0	15.0	13.0
ENSG00000198886	74810.0	48113.5	53403.0	53749.7	102912.0	77403.0
ENSG00000210174	1.0	5.0	1.0	3.0	7.0	4.0
ENSG00000198840	12194.0	7542.0	8204.0	10042.0	16227.0	14162.0
ENSG00000210164	1.0	5.0	3.0	8.0	9.0	3.0
ENSG00000198938	58917.7	44456.0	41805.9	46573.4	70012.2	63976.2
ENSG00000198899	48279.4	27930.1	31722.6	36986.6	64193.6	48453.2
ENSG00000228253	6774.11	5990.62	4465.56	5071.21	8301.23	7098.72
ENSG00000210151	61.0	41.0	42.0	40.0	85.0	51.0
ENSG00000210135	525.0	256.0	328.0	389.0	332.0	528.0
ENSG00000210127	1213.0	280.0	847.0	881.0	846.0	1291.0
ENSG00000210117	26.0	27.0	18.0	46.0	26.0	40.0
ENSG00000210100	9.0	14.0	6.0	24.0	15.0	16.0
ENSG00000210082	2028.73	1640.74	1635.41	2621.24	3059.35	2021.63
ENSG00000210077	20.0	13.0	10.0	88.0	109.0	29.0
ENSG00000210049	62.0	47.0	30.0	109.0	38.0	76.0
ENSG00000212932	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000230982	73.0	100.0	50.0	75.0	68.0	101.0
ENSG00000160310	2854.0	2980.0	2180.0	2668.0	2933.0	3285.0
ENSG00000160307	57.273	100.0	36.156	100.471	47.0	89.62
ENSG00000202239	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000223692	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000160299	818.0	690.999	535.0	599.0	779.999	713.999
ENSG00000160298	51.977	49.871	41.0	41.078	55.935	51.288
ENSG00000239415	24.275	32.79	12.972	24.779	20.59	22.367
ENSG00000160294	1769.14	1418.59	1179.38	1588.74	1998.08	1785.47
ENSG00000160284	79.0	15.0	17.0	46.0	50.0	27.0
ENSG00000160282	1.0	0.0	0.0	1.0	1.0	0.0
ENSG00000142173	660.0	192.999	286.001	390.001	546.0	489.0
ENSG00000227438	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000228235	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000224413	3.164	3.427	3.591	1.226	3.271	0.0
ENSG00000274248	0.0	1.0	0.0	0.0	0.0	0.0
ENSG00000205424	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000275139	4.124	5.249	4.085	3.101	0.0	3.052
ENSG00000183570	14.016	18.402	66.001	66.246	21.0	33.104
ENSG00000275167	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000224574	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000182871	1854.88	1397.98	2322.69	3077.33	2359.5	1138.71
ENSG00000273796	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000228355	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000229382	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000184274	0.0	0.0	0.0	0.0	2.0	1.0
ENSG00000223768	52.0	53.0	33.0	44.0	75.0	50.0
ENSG00000186866	484.878	433.893	383.81	454.62	508.024	485.016
ENSG00000182586	1.123	3.107	1.191	4.379	7.976	6.983
ENSG00000267857	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000235374	24.0	10.0	10.0	4.0	19.0	17.0
ENSG00000275874	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000234880	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000276529	15.817	13.207	3.381	18.705	15.46	18.282
ENSG00000160256	72.0	77.0	58.0	75.0	112.999	109.0
ENSG00000273027	1.0	1.0	2.0	1.0	4.0	2.0
ENSG00000184900	888.768	814.895	637.588	663.558	939.359	888.312
ENSG00000236519	2.0	5.0	5.0	8.0	4.0	4.095
ENSG00000236382	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000189169	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000276647	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000187175	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000221864	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000212933	0.0	0.0	1.0	1.0	1.0	0.0
ENSG00000221837	0.0	0.0	0.0	1.0	1.0	0.0
ENSG00000187766	0.0	0.0	0.0	0.0	1.0	1.0
ENSG00000272804	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000241123	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000212935	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000182912	7.255	15.442	46.449	28.811	15.607	16.806
ENSG00000235890	10.0	11.494	32.662	9.498	12.373	6.0
ENSG00000175894	14.0	18.506	70.338	30.502	23.627	23.0
ENSG00000228709	0.0	3.0	0.0	2.0	4.0	0.0
ENSG00000274225	2.0	0.0	1.0	1.0	1.0	0.0
ENSG00000223431	0.0	0.0	2.0	0.0	1.0	0.0
ENSG00000224747	1.0	0.0	3.0	0.0	1.0	0.0
ENSG00000160233	34.371	23.108	40.405	25.107	52.849	26.536
ENSG00000229356	0.0	0.0	0.0	0.0	0.0	1.0
ENSG00000230061	3.0	2.0	0.0	2.0	0.0	0.0
ENSG00000260256	1.0	1.0	1.0	1.0	1.0	0.0
ENSG00000160226	386.116	326.48	217.512	276.673	390.585	410.499
ENSG00000241728	0.0	10.829	0.0	0.0	3.566	10.76
ENSG00000160224	62.505	27.62	22.511	44.373	44.239	44.852
ENSG00000142182	0.0	0.0	0.0	2.0	0.0	5.863
ENSG00000278158	2.0	5.0	0.0	5.0	2.0	7.0
ENSG00000232124	8.175	11.696	5.894	5.724	8.755	14.829
ENSG00000225331	23.0	20.0	20.0	26.0	22.0	38.0
ENSG00000225043	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000241945	29.007	278.442	142.081	16.618	24.519	178.144
ENSG00000213440	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000160218	2365.92	2227.75	1785.03	2114.2	2405.88	2180.41
ENSG00000199598	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000226543	1.0	0.0	0.0	0.0	0.0	1.0
ENSG00000215458	599.0	362.0	494.0	294.0	392.0	434.0
ENSG00000160214	302.625	221.245	199.279	179.673	283.741	288.296
ENSG00000278433	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000223975	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000185186	0.0	0.0	0.0	0.0	1.0	0.0
ENSG00000225637	1.0	0.0	0.0	0.0	0.0	0.0
ENSG00000237989	17.0	8.0	6.0	5.0	14.0	14.0
ENSG00000232777	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000160200	15.101	38.006	0.759	12.083	11.0	8.375
ENSG00000224100	1.841	0.0	0.0	0.0	0.0	0.0
ENSG00000160193	137.0	141.0	74.0	94.0	105.999	144.0
ENSG00000225731	3.216	0.0	1.0	1.0	0.0	0.0
ENSG00000160191	51.999	32.0	59.0	63.0	71.001	54.0
ENSG00000235023	8.488	7.599	6.967	8.225	4.461	6.164
ENSG00000239930	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000160190	386.999	246.0	272.999	344.0	393.999	308.999
ENSG00000160188	2.012	3.723	6.0	3.019	4.0	2.0
ENSG00000160183	27.286	12.227	14.25	6.224	17.108	20.796
ENSG00000160182	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000160181	3.0	1.0	2.0	3.0	2.645	4.0
ENSG00000160180	13.0	6.0	18.0	14.0	5.0	7.0
ENSG00000223262	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000160179	553.206	434.876	852.25	616.766	979.831	646.701
ENSG00000237232	1.0	0.0	1.0	1.0	0.0	1.0
ENSG00000157617	154.689	132.454	120.896	112.327	215.459	170.415
ENSG00000275166	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000236883	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000183421	6.0	6.0	31.0	14.0	7.0	6.0
ENSG00000232401	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000236384	1.0	0.0	2.0	1.0	1.0	0.0
ENSG00000223400	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000207503	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000157601	980.932	1067.76	1584.14	1428.39	1206.06	1949.14
ENSG00000183486	4076.53	4158.4	5968.21	5464.63	5523.98	4705.93
