Gene_ID	Gene_name	FC_by_DESeq2	FC_by_EdgeR	ratio_of_FC values	p-adj_by_DESeq2	p-adj_by_EdgeR	biological functions
ENSG00000102760.13	RGCC	15.269590927281	14.2281038585353	1.0731992877688281	0.00771770284205238	6.8967912281086e-09	regulation of cell cycle, cellular response to hypoxia, positive regulation of gene expression, cell cycle, positive regulation of transcription by RNA polymerase II, positive regulation of DNA-binding transcription factor activity, positive regulation of stress fiber assembly, negative regulation of cell population proliferation, negative regulation of angiogenesis, positive regulation of cytokine production, positive regulation of epithelial to mesenchymal transition, negative regulation of cytokine production, positive regulation of mitotic nuclear division, positive regulation of cyclin-dependent protein serine/threonine kinase activity, positive regulation of G1/S transition of mitotic cell cycle, positive regulation of collagen biosynthetic process, negative regulation of cell-cell adhesion mediated by cadherin, complement activation, negative regulation of endothelial cell proliferation, negative regulation of blood vessel endothelial cell migration, positive regulation of extracellular matrix constituent secretion, positive regulation of endothelial cell apoptotic process, positive regulation of extracellular matrix assembly, negative regulation of exit from mitosis, fibroblast activation, negative regulation of fibroblast growth factor production, negative regulation of mitotic cell cycle phase transition
ENSG00000105251.11	SHD	0.0872896902685917	0.0961991561581312	0.907385197070812	0.000500362310850664	7.82787636948043e-12	Unknown
ENSG00000128342.5	LIF	8.83739703563802	8.93498159340557	0.9890783705878508	0.00016120243274083	1.38664012642567e-14	immune response, positive regulation of cell population proliferation, regulation of cell communication, regulation of signaling, positive regulation of transcription by RNA polymerase II, positive regulation of tyrosine phosphorylation of STAT protein, regulation of cell differentiation, positive regulation of protein localization to nucleus, positive regulation of peptidyl-serine phosphorylation of STAT protein, positive regulation of peptidyl-serine phosphorylation, positive regulation of MAPK cascade, positive regulation of peptidyl-tyrosine phosphorylation, negative regulation of hormone secretion, positive regulation of macrophage differentiation, blood vessel remodeling, tyrosine phosphorylation of STAT protein, embryo implantation, cell population proliferation, negative regulation of cell population proliferation, positive regulation of gene expression, macrophage differentiation, lung development, positive regulation of cell adhesion mediated by integrin, somatic stem cell population maintenance, negative regulation of meiotic nuclear division, decidualization, fibroblast proliferation, positive regulation of fibroblast proliferation, lung alveolus development, muscle organ morphogenesis, neuron development, positive regulation of astrocyte differentiation, leukemia inhibitory factor signaling pathway, stem cell differentiation, maternal process involved in female pregnancy, lung vasculature development, lung lobe morphogenesis, trophoblast giant cell differentiation, spongiotrophoblast differentiation, negative regulation of ERK1 and ERK2 cascade, positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis, regulation of metanephric nephron tubule epithelial cell differentiation, meiotic nuclear division
ENSG00000132821.12	VSTM2L	11.0898282602696	10.9497241591767	1.0127952174005663	0.000944438576146059	1.48400783882869e-11	Unknown
ENSG00000138061.12	CYP1B1	124.522852111509	180.948104808882	0.688168866112361	2.73172401356952e-05	3.12452500978698e-17	lipid metabolic process, cell adhesion, fatty acid metabolic process, steroid metabolic process, retinol metabolic process, negative regulation of cell population proliferation, negative regulation of NF-kappaB transcription factor activity, positive regulation of apoptotic process, positive regulation of angiogenesis, collagen fibril organization, negative regulation of cell migration, xenobiotic metabolic process, cellular response to hydrogen peroxide, arachidonic acid metabolic process, intrinsic apoptotic signaling pathway in response to oxidative stress, blood vessel morphogenesis, endothelial cell migration, estrogen metabolic process, regulation of reactive oxygen species metabolic process, sterol metabolic process, cellular response to organic cyclic compound, negative regulation of cell adhesion mediated by integrin, epoxygenase P450 pathway, omega-hydroxylase P450 pathway, positive regulation of receptor signaling pathway via JAK-STAT, nitric oxide biosynthetic process, positive regulation of vascular endothelial growth factor production, retinal metabolic process, trabecular meshwork development, angiogenesis, DNA modification, cellular aromatic compound metabolic process, response to nutrient, male gonad development, toxin metabolic process, response to toxic substance, response to organic substance, response to organic cyclic compound, positive regulation of smooth muscle cell migration, adrenal gland development, response to follicle-stimulating hormone, response to estradiol, benzene-containing compound metabolic process, blood vessel endothelial cell migration, estrous cycle, positive regulation of translation, membrane lipid catabolic process, response to arsenic-containing substance, response to steroid hormone, retina vasculature development in camera-type eye, retinal blood vessel morphogenesis, ganglion development, cellular response to cAMP, cellular response to tumor necrosis factor, cellular response to luteinizing hormone stimulus, cellular response to cortisol stimulus, cellular response to progesterone stimulus, response to dexamethasone, endothelial cell-cell adhesion, response to indole-3-methanol, positive regulation of reactive oxygen species metabolic process
ENSG00000143228.13	NUF2	0.107275838407435	0.118133852620488	0.908087191163273	0.00336715992071436	1.04482500977301e-08	cell division, cell cycle, chromosome segregation, mitotic spindle organization, mitotic spindle assembly checkpoint signaling, attachment of spindle microtubules to kinetochore, attachment of mitotic spindle microtubules to kinetochore, meiotic chromosome segregation
ENSG00000150556.17	LYPD6B	8.32046957501191	8.34260914907929	0.9973462050454773	0.00204451806880633	3.9150028242589e-10	Unknown
ENSG00000151468.11	CCDC3	8.54538826201228	8.4510513205733	1.0111627462502002	0.00848274027293723	7.73477162671035e-08	negative regulation of gene expression, negative regulation of tumor necrosis factor-mediated signaling pathway, lipid biosynthetic process, positive regulation of fat cell differentiation, negative regulation of lipid metabolic process, positive regulation of lipid biosynthetic process
ENSG00000159713.11	TPPP3	0.0955719304649724	0.102670482692343	0.9308608273651371	6.11111708031345e-07	2.31718430694455e-21	microtubule polymerization, embryo implantation, microtubule bundle formation, positive regulation of protein polymerization
ENSG00000160097.20	FNDC5	0.0957934334496441	0.10646738506491	0.8997443995759047	0.00655848074503365	2.23422633426479e-08	signal transduction, biological_process, positive regulation of brown fat cell differentiation
